arrival_key,date_key,transport_key,geography_key,origin_geography_key,destination_geography_key,market_origin_key,flight_number,vessel_name,passenger_count,arrival_datetime,arrival_date,arrival_time,arrival_hour,arrival_day_part,departure_datetime,departure_date,departure_time,departure_hour,departure_day_part,days_stay,flow_type,passenger_type,is_repeat_visit,origin_airport_code,origin_city,origin_country_code,destination_airport_code,destination_city,destination_country_code,is_direct_flight,number_of_connections,total_journey_hours,is_peak_season,is_weekend,is_holiday,data_quality_flag,granularity_level,source_confidence,dq_score,data_completeness_pct,imputation_method,observation_count,suppressed,computation_method,source_system,source_file,load_timestamp,created_timestamp
597156,20250925,,,,,61,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.405476,
597157,20250925,,,,,236,,,6,,2025-09-20,,,,,2025-09-25,,,,5,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.421778,
597158,20250925,,,,,235,,,7,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.423519,
597159,20250925,,,,232826,179,,,5,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.424622,
597160,20250925,,,,232826,179,,,15,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.425642,
597161,20250925,,,,123746,110,,,3,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.426598,
597162,20250925,,,,232828,216,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.427601,
597163,20250925,,,,,110,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.428651,
597164,20250925,,,,,108,,,4,,2025-09-24,,,,,2025-09-25,,,,1,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.429624,
597165,20250925,,,,,25,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.443243,
597166,20250925,,,,,101,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.455026,
597167,20250925,,,,,104,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.456127,
597168,20250925,,,,232826,157,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.468964,
597169,20250925,,,,123746,179,,,25,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.470023,
597170,20250925,,,,232828,179,,,15,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.471023,
597171,20250925,,,,232828,179,,,22,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.472037,
597172,20250925,,,,232828,210,,,20,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.473087,
597173,20250925,,,,,210,,,33,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.474116,
597174,20250925,,,,,210,,,20,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.475041,
597175,20250925,,,,232826,236,,,6,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.476602,
597176,20250925,,,,232826,236,,,3,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.478292,
597177,20250925,,,,232828,236,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.480345,
597178,20250925,,,,232828,178,,,6,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.481674,
597179,20250925,,,,,7,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.482766,
597180,20250925,,,,,41,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.51004,
597181,20250925,,,,,235,,,7,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.513203,
597182,20250925,,,,,236,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.514319,
597183,20250925,,,,,236,,,6,,2025-09-17,,,,,2025-09-25,,,,8,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.515293,
597184,20250925,,,,232826,179,,,2,,2025-09-22,,,,,2025-09-25,,,,3,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.516431,
597185,20250925,,,,232815,179,,,8,,2025-09-19,,,,,2025-09-25,,,,6,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.517427,
597186,20250925,,,,232828,41,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.551068,
597187,20250925,,,,232828,236,,,3,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.552351,
