time,weather_temperature_2m,weather_precipitation_mm,weather_wind_speed_10m,weather_relative_humidity_2m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,movement_date
2025-09-13 08:00:00,17.4,0.0,0.8,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 09:00:00,19.4,0.0,1.2,95,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 10:00:00,21.5,0.0,3.2,81,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 11:00:00,22.6,0.0,5.9,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 12:00:00,23.7,0.0,8.7,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 13:00:00,23.9,0.0,10.3,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 14:00:00,23.9,0.0,9.9,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 15:00:00,23.8,0.1,8.9,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 16:00:00,23.5,0.2,8.9,71,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 17:00:00,23.3,0.3,9.0,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 18:00:00,22.9,0.2,9.0,73,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 19:00:00,22.1,0.1,8.1,77,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 20:00:00,21.3,0.0,5.8,82,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 21:00:00,20.7,0.0,4.5,87,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 22:00:00,20.0,0.0,3.7,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 23:00:00,19.5,0.0,3.6,93,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-14 00:00:00,19.0,0.0,3.7,95,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 01:00:00,19.5,0.0,3.6,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 02:00:00,19.1,0.0,4.1,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 03:00:00,18.9,0.0,3.6,96,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 04:00:00,18.5,0.0,2.6,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 05:00:00,18.4,0.0,2.3,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 06:00:00,18.2,0.0,2.4,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 07:00:00,18.3,0.0,1.3,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 08:00:00,18.6,0.0,1.1,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 09:00:00,20.5,0.0,2.3,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 10:00:00,22.2,0.1,6.1,78,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 11:00:00,23.5,0.1,6.4,68,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 12:00:00,24.4,0.1,6.5,62,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 13:00:00,25.3,0.0,8.1,57,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 14:00:00,25.7,0.0,8.5,55,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 15:00:00,25.8,0.0,9.3,55,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 16:00:00,25.6,0.0,10.1,56,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 17:00:00,25.0,0.0,11.1,61,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 18:00:00,24.0,0.1,11.7,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 19:00:00,23.0,0.0,9.3,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 20:00:00,21.6,0.0,6.5,83,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 21:00:00,20.5,0.0,3.5,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 22:00:00,19.8,0.0,2.8,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-14 23:00:00,19.5,0.0,1.3,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-14
2025-09-15 00:00:00,19.1,0.0,0.9,95,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-15
