time_bucket,movement_date,granularity_level,geography_key,total_incoming,record_count
2025-09-30T13:00:00,2025-09-30,HOURLY,3767,475.9372200000005,231
2025-10-05T15:00:00,2025-10-05,HOURLY,3739,487.49636000000066,2058
2025-09-24T06:00:00,2025-09-24,HOURLY,3666,1295.3285299999968,2033
2025-09-27T13:00:00,2025-09-27,HOURLY,3628,371.62528999999864,3502
2025-09-30,2025-09-30,DAILY,3713,5034.369179999975,3363
2025-10-04T08:00:00,2025-10-04,HOURLY,3710,792.7393799999995,595
2025-10-09T22:00:00,2025-10-09,HOURLY,3714,1533.6249799999998,1348
2025-09-27T12:00:00,2025-09-27,HOURLY,3655,359.5514399999998,3439
2025-03-28T16:00:00,2025-03-28,,232809,703.0,19
2025-10-04T10:00:00,2025-10-04,HOURLY,3652,4911.859070000018,7183
2025-09-29T13:00:00,2025-09-29,HOURLY,3676,958.5834899999944,3521
2025-10-07,2025-10-07,HOURLY,3731,503.53301999999536,1374
2025-10-07T06:00:00,2025-10-07,HOURLY,3719,2289.387130000003,773
2025-10-07T10:00:00,2025-10-07,HOURLY,3637,10978.235139999786,12118
2025-09-27,2025-09-27,DAILY,3766,5625.170919999894,9016
2025-10-07T05:00:00,2025-10-07,HOURLY,3623,1087.4798600000013,2244
2025-10-05T04:00:00,2025-10-05,HOURLY,3694,1421.5070199999986,1157
2025-07-03T15:00:00,2025-07-03,,232804,0.0,31
2025-09-30T07:00:00,2025-09-30,HOURLY,3633,471.4234900000006,1984
2025-09-24T16:00:00,2025-09-24,HOURLY,3667,5148.153869999959,9630
2025-10-05T09:00:00,2025-10-05,DAILY,3638,1728.7931899999994,3493
2025-10-06T04:00:00,2025-10-06,HOURLY,3650,8173.32135999993,8944
2025-10-07T04:00:00,2025-10-07,HOURLY,3705,4915.0439600000045,3510
2025-10-08T16:00:00,2025-10-08,HOURLY,3647,6328.112859999993,4752
2025-10-03,2025-10-03,DAILY,3749,3952.2371300000314,12966
2025-09-29T23:00:00,2025-09-29,HOURLY,3668,1708.3239199999866,2751
2025-10-02T22:00:00,2025-10-02,HOURLY,3660,69.54035000000003,400
